airport;airportname;city;state;latitude;longitude;altitude;operation
SBUG;RUBEM BERTA;URUGUAIANA;RS;29° 47' 0'' S;57° 2' 13'' W;78 m;VFR Diurno/Noturno e IFR Diurno/Noturno
SBUL;TEN CEL AVIADOR CÉSAR BOMBONATO;UBERLÂNDIA;MG;18° 53' 1'' S;48° 13' 31'' W;943 m;VFR Diurno/Noturno e IFR Diurno/Noturno
SBUR;MARIO DE ALMEIDA FRANCO;UBERABA;MG;19° 45' 53'' S;47° 57' 58'' W;809 m;VFR Diurno/Noturno e IFR Diurno/Noturno
SBVG;MAJOR BRIGADEIRO TROMPOWSKY;VARGINHA;MG;21° 35' 20'' S;45° 28' 24'' W;922 m;VFR Diurno e IFR Diurno/Noturno
SBVH;VILHENA;VILHENA;RO;12° 41' 39'' S;60° 5' 50'' W;615 m;VFR Diurno/Noturno e IFR Diurno/Noturno
SBVT;EURICO DE AGUIAR SALLES;VITÓRIA;ES;20° 15' 29'' S;40° 17' 11'' W;3 m;VFR Diurno/Noturno e IFR Diurno/Noturno
SBZM;PRESIDENTE ITAMAR FRANCO;GOIANÁ;MG;21° 30' 47'' S;43° 10' 23'' W;412 m;VFR Diurno e IFR Diurno/Noturno
SDAA;ARARAS;ARARAS;SP;22° 20' 13'' S;47° 21' 30'' W;685 m;VFR Diurno
SDAD;EVERALDO MORAES BARRETO;ADAMANTINA;SP;21° 41' 46'' S;51° 5' 47'' W;425 m;VFR Diurno
SDAE;SÃO PEDRO;SÃO PEDRO;SP;22° 35' 1'' S;47° 53' 46'' W;566 m;VFR Diurno
SDAG;ANGRA DOS REIS;ANGRA DOS REIS;RJ;22° 58' 31'' S;44° 18' 26'' W;3 m;VFR Diurno
SDAI;AMERICANA;AMERICANA;SP;22° 45' 19'' S;47° 16' 5'' W;611 m;VFR Diurno/Noturno
SDAM;AERODRÓMO ESTADUAL DE CAMPINAS / AMARAIS;CAMPINAS;SP;22° 51' 33'' S;47° 6' 29'' W;612 m;VFR Diurno/Noturno
SDBA;BATATAIS;BATATAIS;SP;20° 52' 38'' S;47° 35' 8'' W;881 m;VFR Diurno
SDBB;BEBEDOURO;BEBEDOURO;SP;20° 54' 1'' S;48° 28' 25'' W;592 m;VFR Diurno
SDBK;TANCREDO DE ALMEIDA NEVES;BOTUCATU;SP;22° 56' 12'' S;48° 28' 3'' W;918 m;VFR Diurno/Noturno
SDBY;APARECIDO O. SILVA;BARIRI;SP;22° 4' 7'' S;48° 42' 21'' W;486 m;VFR Diurno
SDCA;CAPÃO BONITO;CAPÃO BONITO;SP;24° 1' 57'' S;48° 21' 30'' W;732 m;VFR Diurno
SDCG;SENADORA EUNICE MICHILES;SÃO PAULO DE OLIVENÇA;AM;3° 28' 10'' S;68° 57' 30'' W;102 m;VFR Diurno
SDCO;SOROCABA;SOROCABA;SP;23° 28' 59'' S;47° 29' 11'' W;633 m;VFR Diurno/Noturno
SDDN;PAULINO RIBEIRO DE ANDRADE;ANDRADINA;SP;20° 55' 33'' S;51° 23' 2'' W;380 m;VFR Diurno/Noturno
SDDR;DRACENA;DRACENA;SP;21° 27' 38'' S;51° 36' 25'' W;372 m;VFR Diurno/Noturno
SDEP;GERALDO MOACIR BORDON;PRESIDENTE EPITÁCIO;SP;21° 46' 32'' S;52° 9' 47'' W;297 m;VFR Diurno
SDET;TIETÊ;TIETÊ;SP;23° 6' 17'' S;47° 43' 28'' W;501 m;VFR Diurno
SDFD;CORONEL AVIADOR CARLOS ORLEANS GUIMARÃES;FERNANDÓPOLIS;SP;20° 16' 36'' S;50° 12' 50'' W;500 m;VFR Diurno
SDFX;CASA NOVA;CASA NOVA;BA;9° 9' 27'' S;40° 56' 15'' W;405 m;VFR Diurno
SDGC;GARÇA;GARÇA;SP;22° 11' 1'' S;49° 39' 22'' W;665 m;VFR Diurno
SDGR;GUARARAPES;GUARARAPES;SP;21° 15' 47'' S;50° 39' 11'' W;400 m;VFR Diurno
SDIG;IBITINGA;IBITINGA;SP;21° 44' 50'' S;48° 51' 21'' W;542 m;VFR Diurno
SDIM;ITANHAÉM;ITANHAÉM;SP;24° 9' 53'' S;46° 47' 8'' W;4 m;VFR Diurno/Noturno
SDIV;ITUVERAVA;ITUVERAVA;SP;20° 22' 31'' S;47° 46' 7'' W;623 m;VFR Diurno
SDJC;JABOTICABAL;JABOTICABAL;SP;21° 13' 48'' S;48° 17' 5'' W;616 m;VFR Diurno
SDJO;SÃO JOAQUIM DA BARRA;SÃO JOAQUIM DA BARRA;SP;20° 35' 36'' S;47° 50' 32'' W;651 m;VFR Diurno
